SNAP;Group;Part;Mean
48;1isowhite;Dr;32,612
107;1isowhite;Dr;33,463
111;1isowhite;Dr;30,827
34a;2whitex;Dr;47,452
34b;2whitex;Dr;75,851
39;2whitex;Dr;62,302
339 bal;2whitex;Dr;49,396
339 jobb;2whitex;Dr;52,579
341;2whitex;Dr;60,511
343;2whitex;Dr;56,279
335;3Yki;Dr;73,648
336;3Yki;Dr;61,489
337 bal;3Yki;Dr;70,855
337 jobb;3Yki;Dr;68,139
116;3Yki;Dr;76,662
120;3Yki;Dr;68,371
124;3Yki;Dr;58,164
345;4Ras;Dr;55,1
347;4Ras;Dr;45,903
348;4Ras;Dr;43,506
349;4Ras;Dr;37,305
128a;4Ras;Dr;50,351
128b;4Ras;Dr;63,71
142a;4Ras;Dr;60,462
142b;4Ras;Dr;67,782
147a;4Ras;Dr;55,182
147b;4Ras;Dr;53,719
157;5RasYki;Dr;47,685
350;5RasYki;Dr;58,315
351;5RasYki;Dr;48,782
352;5RasYki;Dr;40,644
353;5RasYki;Dr;44,253
354;5RasYki;Dr;56,673
356;5RasYki;Dr;40,021
357;5RasYki;Dr;36,938
160;5RasYki;Dr;57,785
